NIM,Gender,Usia,Fakultas,Angkatan,Jenis Buku,Jumlah Dipinjam,lamaMeminjam,Status Pengembalian,Denda
20001156,P,19,FEB,2019,Text Book,3,4,Tepat Waktu,0
20001178,L,23,Fakultas Kedokteran,2020,Text Book,3,1,Tepat Waktu,0
20001721,P,21,Fakultas Kedokteran,2023,Fiksi,4,9,Telat,2000
20001618,L,20,Fakultas Teknik,2019,Text Book,4,7,Tepat Waktu,0
20001518,L,22,Fakultas Teknik,2021,Fiksi,2,3,Tepat Waktu,0
20001538,P,20,FEB,2019,Text Book,3,2,Tepat Waktu,0
20001431,P,19,FEB,2020,Fiksi,1,9,Telat,2000
20001445,L,19,FEB,2020,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001804,P,22,Fakultas Kedokteran,2023,Fiksi,2,1,Tepat Waktu,0
20001848,L,20,Fakultas Teknik,2023,Jurnal Ilmiah,4,4,Tepat Waktu,0
20001060,L,18,Fakultas Kedokteran,2019,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001397,P,19,FEB,2023,Lainnya,1,9,Telat,2000
20001868,L,24,FEB,2019,Fiksi,4,5,Tepat Waktu,0
20001544,P,18,FEB,2021,Jurnal Ilmiah,1,1,Tepat Waktu,0
20001365,L,18,FEB,2022,Text Book,2,7,Tepat Waktu,0
20001991,L,18,Fakultas Kedokteran,2023,Fiksi,3,5,Tepat Waktu,0
20001156,L,20,Fakultas Teknik,2019,Text Book,2,6,Tepat Waktu,0
20001824,P,24,Fakultas Kedokteran,2021,Jurnal Ilmiah,2,4,Tepat Waktu,0
20001214,P,21,Fakultas Kedokteran,2022,Text Book,3,7,Tepat Waktu,0
20001156,P,21,FEB,2020,Text Book,4,2,Tepat Waktu,0
20001010,L,19,Fakultas Teknik,2023,Lainnya,4,5,Tepat Waktu,0
20001811,L,19,FEB,2022,Text Book,2,2,Tepat Waktu,0
20001073,P,24,Fakultas Teknik,2021,Fiksi,4,4,Tepat Waktu,0
20001076,L,24,FEB,2021,Fiksi,2,4,Tepat Waktu,0
20001448,L,18,FEB,2023,Text Book,1,2,Tepat Waktu,0
20001759,P,23,FEB,2022,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001050,L,22,Fakultas Teknik,2023,Text Book,3,9,Telat,2000
20001560,L,19,FEB,2023,Jurnal Ilmiah,3,7,Tepat Waktu,0
20001928,P,18,FEB,2020,Text Book,1,8,Telat,1000
20001434,P,19,FEB,2023,Fiksi,3,1,Tepat Waktu,0
20001120,P,22,Fakultas Teknik,2021,Jurnal Ilmiah,2,1,Tepat Waktu,0
20001567,P,18,Fakultas Teknik,2021,Fiksi,2,3,Tepat Waktu,0
20001252,L,20,FEB,2022,Lainnya,1,1,Tepat Waktu,0
20001512,P,18,FEB,2019,Text Book,1,7,Tepat Waktu,0
20001330,P,19,Fakultas Kedokteran,2019,Jurnal Ilmiah,3,5,Tepat Waktu,0
20001209,L,18,Fakultas Kedokteran,2020,Fiksi,2,4,Tepat Waktu,0
20001509,P,23,FEB,2023,Fiksi,2,5,Tepat Waktu,0
20001238,P,24,Fakultas Kedokteran,2022,Text Book,2,5,Tepat Waktu,0
20001963,P,20,Fakultas Kedokteran,2020,Jurnal Ilmiah,2,1,Tepat Waktu,0
20001009,P,24,Fakultas Kedokteran,2023,Lainnya,3,9,Telat,2000
20001577,P,21,Fakultas Teknik,2023,Text Book,2,9,Telat,2000
20001250,L,21,Fakultas Teknik,2022,Jurnal Ilmiah,2,6,Tepat Waktu,0
20001907,L,23,Fakultas Teknik,2023,Fiksi,1,1,Tepat Waktu,0
20001431,L,20,FEB,2023,Jurnal Ilmiah,1,2,Tepat Waktu,0
20001435,L,23,Fakultas Kedokteran,2023,Lainnya,3,7,Tepat Waktu,0
20001535,P,20,FEB,2021,Fiksi,1,1,Tepat Waktu,0
20001045,L,18,Fakultas Kedokteran,2020,Text Book,4,5,Tepat Waktu,0
20001250,P,18,Fakultas Teknik,2020,Lainnya,3,8,Telat,1000
20001645,P,19,Fakultas Kedokteran,2020,Jurnal Ilmiah,3,9,Telat,2000
20001633,P,22,Fakultas Teknik,2023,Lainnya,2,4,Tepat Waktu,0
20001449,L,24,Fakultas Kedokteran,2023,Fiksi,2,6,Tepat Waktu,0
20001163,P,22,FEB,2021,Jurnal Ilmiah,3,9,Telat,2000
20001920,P,22,Fakultas Teknik,2023,Lainnya,4,8,Telat,1000
20001405,P,24,Fakultas Kedokteran,2022,Lainnya,2,8,Telat,1000
20001429,L,19,Fakultas Teknik,2021,Jurnal Ilmiah,3,3,Tepat Waktu,0
20001199,P,23,Fakultas Teknik,2019,Lainnya,1,8,Telat,1000
20001141,L,18,Fakultas Kedokteran,2020,Lainnya,3,9,Telat,2000
20001580,L,20,Fakultas Kedokteran,2020,Text Book,1,9,Telat,2000
20001923,L,23,FEB,2019,Fiksi,3,2,Tepat Waktu,0
20001651,P,20,FEB,2022,Text Book,2,6,Tepat Waktu,0
20001918,L,21,Fakultas Kedokteran,2023,Fiksi,3,7,Tepat Waktu,0
20001589,L,21,Fakultas Kedokteran,2023,Text Book,1,8,Telat,1000
20001293,L,19,Fakultas Kedokteran,2020,Jurnal Ilmiah,2,9,Telat,2000
20001786,L,24,Fakultas Kedokteran,2019,Jurnal Ilmiah,3,4,Tepat Waktu,0
20001731,P,24,FEB,2019,Text Book,1,1,Tepat Waktu,0
20001009,L,20,Fakultas Kedokteran,2021,Lainnya,3,3,Tepat Waktu,0
20001109,P,21,FEB,2020,Text Book,3,3,Tepat Waktu,0
20001316,L,22,Fakultas Kedokteran,2021,Lainnya,4,5,Tepat Waktu,0
20001258,L,20,Fakultas Kedokteran,2019,Jurnal Ilmiah,2,5,Tepat Waktu,0
20001358,P,24,FEB,2023,Lainnya,2,7,Tepat Waktu,0
20001285,L,20,FEB,2023,Jurnal Ilmiah,4,5,Tepat Waktu,0
20001475,P,20,Fakultas Teknik,2020,Jurnal Ilmiah,1,3,Tepat Waktu,0
20001984,L,18,Fakultas Teknik,2021,Fiksi,2,8,Telat,1000
20001697,P,22,Fakultas Teknik,2019,Lainnya,2,4,Tepat Waktu,0
20001018,P,24,Fakultas Kedokteran,2019,Fiksi,3,1,Tepat Waktu,0
20001990,L,23,FEB,2021,Fiksi,4,7,Tepat Waktu,0
20001166,L,22,Fakultas Kedokteran,2021,Lainnya,2,6,Tepat Waktu,0
20001845,L,18,Fakultas Teknik,2022,Lainnya,1,2,Tepat Waktu,0
20001245,P,18,Fakultas Teknik,2020,Text Book,4,8,Telat,1000
20001786,L,24,FEB,2020,Text Book,4,3,Tepat Waktu,0
20001669,P,21,Fakultas Kedokteran,2022,Lainnya,2,8,Telat,1000
20001198,P,19,Fakultas Teknik,2022,Fiksi,4,9,Telat,2000
20001276,L,18,Fakultas Kedokteran,2019,Jurnal Ilmiah,4,4,Tepat Waktu,0
20001002,P,20,Fakultas Kedokteran,2023,Text Book,4,1,Tepat Waktu,0
20001739,L,24,Fakultas Teknik,2019,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001569,L,24,Fakultas Teknik,2020,Fiksi,4,1,Tepat Waktu,0
20001996,P,23,Fakultas Teknik,2021,Fiksi,3,9,Telat,2000
20001543,P,19,Fakultas Kedokteran,2021,Jurnal Ilmiah,1,9,Telat,2000
20001337,L,20,Fakultas Teknik,2023,Text Book,1,6,Tepat Waktu,0
20001694,P,18,Fakultas Teknik,2023,Fiksi,3,1,Tepat Waktu,0
20001383,P,23,Fakultas Teknik,2019,Jurnal Ilmiah,4,2,Tepat Waktu,0
20001432,L,23,Fakultas Teknik,2020,Lainnya,4,7,Tepat Waktu,0
20001434,P,21,Fakultas Kedokteran,2022,Text Book,1,6,Tepat Waktu,0
20001940,P,19,FEB,2019,Fiksi,3,4,Tepat Waktu,0
20001994,P,23,Fakultas Teknik,2020,Text Book,4,9,Telat,2000
20001170,P,22,Fakultas Teknik,2020,Lainnya,1,3,Tepat Waktu,0
20001126,L,18,Fakultas Kedokteran,2019,Fiksi,4,5,Tepat Waktu,0
20001276,L,23,Fakultas Kedokteran,2020,Jurnal Ilmiah,1,8,Telat,1000
20001798,P,21,Fakultas Teknik,2021,Text Book,4,3,Tepat Waktu,0
20001607,P,22,Fakultas Kedokteran,2020,Text Book,4,7,Tepat Waktu,0
20001344,P,21,Fakultas Teknik,2020,Jurnal Ilmiah,4,6,Tepat Waktu,0
20001550,L,22,Fakultas Kedokteran,2022,Jurnal Ilmiah,4,6,Tepat Waktu,0
20001403,L,22,Fakultas Kedokteran,2019,Text Book,3,4,Tepat Waktu,0
20001274,P,24,Fakultas Teknik,2019,Text Book,3,7,Tepat Waktu,0
20001585,L,21,FEB,2020,Lainnya,2,3,Tepat Waktu,0
20001273,L,23,Fakultas Teknik,2019,Lainnya,3,8,Telat,1000
20001787,P,21,Fakultas Teknik,2023,Jurnal Ilmiah,4,3,Tepat Waktu,0
20001784,L,19,Fakultas Kedokteran,2019,Jurnal Ilmiah,2,5,Tepat Waktu,0
20001305,L,23,FEB,2021,Text Book,1,6,Tepat Waktu,0
20001765,L,22,Fakultas Kedokteran,2020,Lainnya,3,3,Tepat Waktu,0
20001102,L,18,FEB,2019,Text Book,1,1,Tepat Waktu,0
20001820,P,24,Fakultas Teknik,2021,Fiksi,3,3,Tepat Waktu,0
20001998,P,19,Fakultas Teknik,2021,Fiksi,2,4,Tepat Waktu,0
20001808,L,23,Fakultas Teknik,2022,Lainnya,2,5,Tepat Waktu,0
20001607,P,23,FEB,2020,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001499,L,18,Fakultas Kedokteran,2022,Text Book,1,5,Tepat Waktu,0
20001675,P,18,Fakultas Kedokteran,2023,Lainnya,1,4,Tepat Waktu,0
20001199,P,20,FEB,2022,Lainnya,4,3,Tepat Waktu,0
20001419,L,19,FEB,2021,Jurnal Ilmiah,4,4,Tepat Waktu,0
20001700,L,21,Fakultas Kedokteran,2023,Jurnal Ilmiah,4,5,Tepat Waktu,0
20001128,P,20,FEB,2021,Text Book,2,5,Tepat Waktu,0
20001078,P,20,Fakultas Kedokteran,2019,Lainnya,1,8,Telat,1000
20001577,P,22,Fakultas Teknik,2023,Text Book,4,8,Telat,1000
20001886,P,21,Fakultas Kedokteran,2023,Fiksi,1,5,Tepat Waktu,0
20001846,P,20,FEB,2023,Text Book,2,4,Tepat Waktu,0
20001371,L,21,Fakultas Kedokteran,2021,Fiksi,3,8,Telat,1000
20001025,L,18,FEB,2022,Text Book,1,1,Tepat Waktu,0
20001771,L,24,Fakultas Kedokteran,2020,Lainnya,3,9,Telat,2000
20001026,L,23,Fakultas Teknik,2022,Lainnya,2,5,Tepat Waktu,0
20001422,L,18,FEB,2020,Fiksi,4,8,Telat,1000
20001240,L,19,FEB,2019,Fiksi,1,2,Tepat Waktu,0
20001922,P,18,FEB,2019,Lainnya,4,4,Tepat Waktu,0
20001580,L,22,Fakultas Teknik,2019,Fiksi,3,9,Telat,2000
20001827,P,23,FEB,2019,Fiksi,4,8,Telat,1000
20001301,L,18,FEB,2021,Lainnya,3,8,Telat,1000
20001053,P,18,FEB,2022,Fiksi,1,5,Tepat Waktu,0
20001861,P,18,Fakultas Kedokteran,2022,Jurnal Ilmiah,2,2,Tepat Waktu,0
20001921,L,23,FEB,2021,Fiksi,1,5,Tepat Waktu,0
20001166,P,23,Fakultas Teknik,2019,Lainnya,3,4,Tepat Waktu,0
20001916,L,23,Fakultas Teknik,2019,Jurnal Ilmiah,1,7,Tepat Waktu,0
20001884,L,23,Fakultas Kedokteran,2022,Lainnya,1,9,Telat,2000
20001061,P,21,Fakultas Kedokteran,2020,Text Book,3,6,Tepat Waktu,0
20001068,L,24,Fakultas Kedokteran,2021,Lainnya,1,9,Telat,2000
20001456,P,19,FEB,2023,Jurnal Ilmiah,3,7,Tepat Waktu,0
20001090,L,24,FEB,2021,Fiksi,2,3,Tepat Waktu,0
20001983,P,24,Fakultas Kedokteran,2021,Jurnal Ilmiah,3,3,Tepat Waktu,0
20001653,L,22,Fakultas Teknik,2022,Fiksi,1,5,Tepat Waktu,0
20001937,P,20,Fakultas Teknik,2020,Jurnal Ilmiah,2,7,Tepat Waktu,0
20001028,L,18,Fakultas Teknik,2023,Text Book,4,8,Telat,1000
20001266,L,23,Fakultas Kedokteran,2023,Text Book,4,3,Tepat Waktu,0
20001962,P,20,Fakultas Teknik,2021,Text Book,3,4,Tepat Waktu,0
20001782,P,21,Fakultas Kedokteran,2020,Fiksi,1,6,Tepat Waktu,0
20001778,L,18,Fakultas Teknik,2022,Text Book,2,1,Tepat Waktu,0
20001315,L,23,Fakultas Teknik,2020,Lainnya,2,4,Tepat Waktu,0
20001554,P,19,Fakultas Teknik,2019,Lainnya,2,4,Tepat Waktu,0
20001921,P,22,Fakultas Kedokteran,2019,Text Book,4,4,Tepat Waktu,0
20001518,P,20,Fakultas Kedokteran,2023,Fiksi,1,5,Tepat Waktu,0
20001779,P,20,Fakultas Kedokteran,2022,Fiksi,1,7,Tepat Waktu,0
20001652,L,18,FEB,2023,Lainnya,1,1,Tepat Waktu,0
20001014,L,20,FEB,2023,Fiksi,2,2,Tepat Waktu,0
20001361,P,23,Fakultas Kedokteran,2021,Lainnya,3,7,Tepat Waktu,0
20001864,P,23,FEB,2019,Jurnal Ilmiah,2,9,Telat,2000
20001867,P,18,FEB,2021,Jurnal Ilmiah,4,8,Telat,1000
20001066,P,18,Fakultas Kedokteran,2021,Fiksi,4,7,Tepat Waktu,0
20001758,L,24,FEB,2021,Lainnya,2,1,Tepat Waktu,0
20001349,L,20,FEB,2019,Jurnal Ilmiah,2,2,Tepat Waktu,0
20001680,L,22,Fakultas Teknik,2020,Lainnya,2,9,Telat,2000
20001350,P,23,FEB,2019,Text Book,1,3,Tepat Waktu,0
20001359,L,18,Fakultas Teknik,2023,Jurnal Ilmiah,2,3,Tepat Waktu,0
20001432,P,21,Fakultas Kedokteran,2021,Text Book,3,7,Tepat Waktu,0
20001644,P,24,Fakultas Kedokteran,2019,Lainnya,3,5,Tepat Waktu,0
20001069,L,19,Fakultas Teknik,2019,Jurnal Ilmiah,4,3,Tepat Waktu,0
20001269,P,20,Fakultas Teknik,2020,Fiksi,3,4,Tepat Waktu,0
20001518,P,24,Fakultas Kedokteran,2019,Fiksi,2,5,Tepat Waktu,0
20001022,L,18,Fakultas Teknik,2023,Lainnya,2,9,Telat,2000
20001009,P,21,FEB,2019,Lainnya,3,8,Telat,1000
20001893,P,19,FEB,2023,Fiksi,3,7,Tepat Waktu,0
20001754,L,20,Fakultas Teknik,2019,Lainnya,2,3,Tepat Waktu,0
20001717,P,18,Fakultas Kedokteran,2022,Jurnal Ilmiah,2,2,Tepat Waktu,0
20001829,P,24,Fakultas Teknik,2023,Text Book,2,1,Tepat Waktu,0
20001870,P,23,Fakultas Kedokteran,2022,Fiksi,2,7,Tepat Waktu,0
20001234,L,24,FEB,2021,Lainnya,4,7,Tepat Waktu,0
20001044,P,19,FEB,2023,Jurnal Ilmiah,1,3,Tepat Waktu,0
20001093,L,21,FEB,2020,Fiksi,2,3,Tepat Waktu,0
20001212,L,23,Fakultas Kedokteran,2019,Text Book,4,2,Tepat Waktu,0
20001767,P,22,Fakultas Teknik,2022,Lainnya,3,3,Tepat Waktu,0
20001388,L,24,FEB,2019,Fiksi,4,4,Tepat Waktu,0
20001399,P,24,FEB,2023,Jurnal Ilmiah,2,9,Telat,2000
20001461,P,18,Fakultas Kedokteran,2023,Fiksi,2,3,Tepat Waktu,0
20001468,L,21,FEB,2019,Text Book,3,1,Tepat Waktu,0
20001477,L,18,FEB,2023,Fiksi,3,8,Telat,1000
20001085,P,20,Fakultas Teknik,2020,Fiksi,2,3,Tepat Waktu,0
20001214,L,19,FEB,2020,Lainnya,2,2,Tepat Waktu,0
20001517,L,20,Fakultas Kedokteran,2019,Jurnal Ilmiah,3,9,Telat,2000
20001581,P,21,Fakultas Teknik,2023,Lainnya,1,5,Tepat Waktu,0
20001199,L,23,FEB,2019,Fiksi,3,6,Tepat Waktu,0
20001658,P,21,Fakultas Teknik,2021,Text Book,1,3,Tepat Waktu,0
20001337,P,18,FEB,2022,Jurnal Ilmiah,1,9,Telat,2000
20001659,P,20,Fakultas Teknik,2019,Lainnya,4,7,Tepat Waktu,0
20001259,P,23,Fakultas Teknik,2022,Jurnal Ilmiah,4,9,Telat,2000
20001059,P,24,Fakultas Kedokteran,2022,Jurnal Ilmiah,4,4,Tepat Waktu,0
20001034,L,22,Fakultas Teknik,2021,Lainnya,3,1,Tepat Waktu,0
20001834,P,23,Fakultas Teknik,2020,Fiksi,4,7,Tepat Waktu,0
20001364,P,24,FEB,2019,Jurnal Ilmiah,1,2,Tepat Waktu,0
20001839,L,20,Fakultas Kedokteran,2019,Fiksi,1,8,Telat,1000
20001224,L,24,Fakultas Kedokteran,2019,Lainnya,4,6,Tepat Waktu,0
20001622,P,19,Fakultas Kedokteran,2022,Lainnya,1,7,Tepat Waktu,0
20001159,P,21,FEB,2022,Fiksi,3,7,Tepat Waktu,0
20001390,L,18,Fakultas Teknik,2023,Text Book,2,1,Tepat Waktu,0
20001863,L,22,Fakultas Kedokteran,2021,Fiksi,3,5,Tepat Waktu,0
20001914,L,22,Fakultas Teknik,2022,Fiksi,2,2,Tepat Waktu,0
20001885,P,23,Fakultas Kedokteran,2023,Lainnya,4,4,Tepat Waktu,0
20001598,P,21,FEB,2022,Lainnya,1,9,Telat,2000
20001326,L,18,FEB,2022,Fiksi,3,9,Telat,2000
20001278,P,20,FEB,2021,Lainnya,3,6,Tepat Waktu,0
20001361,L,18,Fakultas Teknik,2019,Fiksi,4,9,Telat,2000
20001408,P,24,FEB,2023,Lainnya,4,4,Tepat Waktu,0
20001073,L,18,Fakultas Kedokteran,2019,Jurnal Ilmiah,1,5,Tepat Waktu,0
20001366,P,23,Fakultas Kedokteran,2022,Text Book,2,2,Tepat Waktu,0
20001600,L,19,Fakultas Kedokteran,2022,Lainnya,4,9,Telat,2000
20001114,P,19,Fakultas Kedokteran,2023,Fiksi,1,7,Tepat Waktu,0
20001066,P,19,FEB,2022,Text Book,2,8,Telat,1000
20001258,L,24,Fakultas Kedokteran,2023,Lainnya,1,7,Tepat Waktu,0
20001487,P,19,Fakultas Teknik,2020,Text Book,4,4,Tepat Waktu,0
20001535,P,22,Fakultas Kedokteran,2022,Fiksi,4,8,Telat,1000
20001237,L,20,FEB,2019,Jurnal Ilmiah,3,9,Telat,2000
20001773,L,20,FEB,2023,Fiksi,3,3,Tepat Waktu,0
20001048,L,23,Fakultas Kedokteran,2021,Lainnya,4,5,Tepat Waktu,0
20001298,L,23,Fakultas Kedokteran,2020,Text Book,1,5,Tepat Waktu,0
20001516,L,21,FEB,2023,Lainnya,1,6,Tepat Waktu,0
20001288,L,18,Fakultas Kedokteran,2022,Fiksi,3,6,Tepat Waktu,0
20001588,L,18,FEB,2023,Jurnal Ilmiah,1,6,Tepat Waktu,0
20001939,L,23,Fakultas Teknik,2022,Text Book,2,3,Tepat Waktu,0
20001228,L,19,FEB,2020,Text Book,1,7,Tepat Waktu,0
20001067,L,19,FEB,2021,Jurnal Ilmiah,4,1,Tepat Waktu,0
20001340,P,24,FEB,2023,Text Book,4,2,Tepat Waktu,0
20001638,P,20,Fakultas Kedokteran,2022,Jurnal Ilmiah,3,4,Tepat Waktu,0
20001809,P,23,FEB,2023,Jurnal Ilmiah,4,2,Tepat Waktu,0
20001906,L,20,Fakultas Teknik,2021,Lainnya,1,9,Telat,2000
20001638,L,20,Fakultas Kedokteran,2022,Lainnya,4,9,Telat,2000
20001245,P,23,Fakultas Kedokteran,2022,Fiksi,2,8,Telat,1000
20001722,P,21,Fakultas Teknik,2019,Lainnya,3,8,Telat,1000
20001098,P,19,Fakultas Teknik,2019,Fiksi,4,8,Telat,1000
20001260,L,20,Fakultas Teknik,2020,Fiksi,2,5,Tepat Waktu,0
20001864,L,21,Fakultas Teknik,2020,Fiksi,3,6,Tepat Waktu,0
20001649,P,18,Fakultas Kedokteran,2019,Fiksi,2,3,Tepat Waktu,0
20001618,L,21,Fakultas Kedokteran,2021,Jurnal Ilmiah,1,2,Tepat Waktu,0
20001279,P,19,Fakultas Kedokteran,2020,Fiksi,3,5,Tepat Waktu,0
20001159,L,21,FEB,2020,Text Book,4,7,Tepat Waktu,0
20001513,P,24,FEB,2021,Jurnal Ilmiah,2,1,Tepat Waktu,0
20001580,P,23,Fakultas Kedokteran,2022,Fiksi,1,1,Tepat Waktu,0
20001346,P,24,Fakultas Kedokteran,2023,Fiksi,2,6,Tepat Waktu,0
20001337,P,18,Fakultas Teknik,2020,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001727,L,22,FEB,2021,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001822,L,23,FEB,2023,Text Book,3,4,Tepat Waktu,0
20001686,L,21,Fakultas Kedokteran,2021,Text Book,2,6,Tepat Waktu,0
20001244,P,21,Fakultas Kedokteran,2023,Lainnya,3,8,Telat,1000
